horizon,L,alpha,N,da_weight,da,qa,baseline_da,baseline_qa,da_improvement,qa_improvement,beats_both
30,4,0.2,5,0.5,92.81609195402298,93.27150396806113,72.16519861859877,92.79715970977787,20.650893335424215,0.4743442582832529,True
30,4,0.2,5,0.6,92.81609195402298,93.27150396806113,72.16519861859877,92.79715970977787,20.650893335424215,0.4743442582832529,True
30,4,0.2,5,0.7,92.81609195402298,93.27150396806113,72.16519861859877,92.79715970977787,20.650893335424215,0.4743442582832529,True
30,4,0.2,7,0.5,92.52873563218391,93.32835512232931,72.16519861859877,92.79715970977787,20.363537013585145,0.5311954125514404,True
30,4,0.2,7,0.6,92.81609195402298,93.2721517234723,72.16519861859877,92.79715970977787,20.650893335424215,0.47499201369443256,True
30,4,0.2,7,0.7,92.81609195402298,93.2721517234723,72.16519861859877,92.79715970977787,20.650893335424215,0.47499201369443256,True
30,4,0.2,10,0.5,93.96551724137932,93.273027651837,72.16519861859877,92.79715970977787,21.80031862278055,0.47586794205912497,True
30,4,0.2,10,0.6,93.96551724137932,93.273027651837,72.16519861859877,92.79715970977787,21.80031862278055,0.47586794205912497,True
30,4,0.2,10,0.7,93.96551724137932,93.273027651837,72.16519861859877,92.79715970977787,21.80031862278055,0.47586794205912497,True
30,4,0.3,5,0.5,92.81609195402298,93.27371616209217,72.16519861859877,92.79715970977787,20.650893335424215,0.47655645231429844,True
30,4,0.3,5,0.6,92.81609195402298,93.27371616209217,72.16519861859877,92.79715970977787,20.650893335424215,0.47655645231429844,True
30,4,0.3,5,0.7,92.81609195402298,93.27371616209217,72.16519861859877,92.79715970977787,20.650893335424215,0.47655645231429844,True
30,4,0.3,7,0.5,93.10344827586206,93.33087667925945,72.16519861859877,92.79715970977787,20.9382496572633,0.5337169694815742,True
30,4,0.3,7,0.6,93.10344827586206,93.27475716989692,72.16519861859877,92.79715970977787,20.9382496572633,0.4775974601190427,True
30,4,0.3,7,0.7,93.10344827586206,93.27475716989692,72.16519861859877,92.79715970977787,20.9382496572633,0.4775974601190427,True
30,4,0.3,10,0.5,93.67816091954023,93.27537943724744,72.16519861859877,92.79715970977787,21.512962300941467,0.47821972746956476,True
30,4,0.3,10,0.6,93.67816091954023,93.27537943724744,72.16519861859877,92.79715970977787,21.512962300941467,0.47821972746956476,True
30,4,0.3,10,0.7,93.67816091954023,93.27537943724744,72.16519861859877,92.79715970977787,21.512962300941467,0.47821972746956476,True
30,4,0.4,5,0.5,92.81609195402298,93.27615981641189,72.16519861859877,92.79715970977787,20.650893335424215,0.47900010663401815,True
30,4,0.4,5,0.6,92.81609195402298,93.27615981641189,72.16519861859877,92.79715970977787,20.650893335424215,0.47900010663401815,True
30,4,0.4,5,0.7,92.81609195402298,93.27615981641189,72.16519861859877,92.79715970977787,20.650893335424215,0.47900010663401815,True
30,4,0.4,7,0.5,93.10344827586206,93.33359315043157,72.16519861859877,92.79715970977787,20.9382496572633,0.5364334406536955,True
30,4,0.4,7,0.6,93.10344827586206,93.27760414642559,72.16519861859877,92.79715970977787,20.9382496572633,0.48044443664771563,True
30,4,0.4,7,0.7,93.10344827586206,93.27760414642559,72.16519861859877,92.79715970977787,20.9382496572633,0.48044443664771563,True
30,4,0.4,10,0.5,93.96551724137932,93.27797551249236,72.16519861859877,92.79715970977787,21.80031862278055,0.4808158027144884,True
30,4,0.4,10,0.6,93.96551724137932,93.27797551249236,72.16519861859877,92.79715970977787,21.80031862278055,0.4808158027144884,True
30,4,0.4,10,0.7,93.96551724137932,93.27797551249236,72.16519861859877,92.79715970977787,21.80031862278055,0.4808158027144884,True
30,6,0.2,5,0.5,91.95402298850574,93.25565003916225,72.16519861859877,92.79715970977787,19.788824369906976,0.4584903293843752,True
30,6,0.2,5,0.6,91.95402298850574,93.25565003916225,72.16519861859877,92.79715970977787,19.788824369906976,0.4584903293843752,True
30,6,0.2,5,0.7,91.95402298850574,93.25565003916225,72.16519861859877,92.79715970977787,19.788824369906976,0.4584903293843752,True
30,6,0.2,7,0.5,92.52873563218391,93.31221118489592,72.16519861859877,92.79715970977787,20.363537013585145,0.5150514751180424,True
30,6,0.2,7,0.6,92.81609195402298,93.25525774835359,72.16519861859877,92.79715970977787,20.650893335424215,0.45809803857571296,True
30,6,0.2,7,0.7,92.81609195402298,93.25525774835359,72.16519861859877,92.79715970977787,20.650893335424215,0.45809803857571296,True
30,6,0.2,10,0.5,93.10344827586206,93.25899295052137,72.16519861859877,92.79715970977787,20.9382496572633,0.46183324074350196,True
30,6,0.2,10,0.6,93.10344827586206,93.25899295052137,72.16519861859877,92.79715970977787,20.9382496572633,0.46183324074350196,True
30,6,0.2,10,0.7,93.10344827586206,93.25899295052137,72.16519861859877,92.79715970977787,20.9382496572633,0.46183324074350196,True
30,6,0.3,5,0.5,92.52873563218391,93.26191948323402,72.16519861859877,92.79715970977787,20.363537013585145,0.4647597734561515,True
30,6,0.3,5,0.6,92.52873563218391,93.26191948323402,72.16519861859877,92.79715970977787,20.363537013585145,0.4647597734561515,True
30,6,0.3,5,0.7,92.52873563218391,93.26191948323402,72.16519861859877,92.79715970977787,20.363537013585145,0.4647597734561515,True
30,6,0.3,7,0.5,92.81609195402298,93.31866359443161,72.16519861859877,92.79715970977787,20.650893335424215,0.5215038846537396,True
30,6,0.3,7,0.6,93.10344827586206,93.26197396022042,72.16519861859877,92.79715970977787,20.9382496572633,0.46481425044254365,True
30,6,0.3,7,0.7,93.10344827586206,93.26197396022042,72.16519861859877,92.79715970977787,20.9382496572633,0.46481425044254365,True
