date,bullish_prob,bearish_prob,net_prob,mean_drift
2023-03-30,0.5,0.5,0.0,0.2159178237897592
2023-03-31,0.5,0.5,0.0,-0.10405567172959469
2023-04-01,0.5,0.5,0.0,0.10900873903685711
2023-04-02,0.5,0.5,0.0,-0.4354075303804474
2023-04-03,0.5,0.5,0.0,-0.46303070312959943
2023-04-04,0.5,0.5,0.0,0.10715246277861112
2023-04-05,0.5,0.5,0.0,0.20603156736031755
2023-04-06,0.5,0.5,0.0,0.5330032571003009
2023-04-07,0.5,0.5,0.0,0.5719299757088633
2023-04-08,0.5,0.5,0.0,0.28220373013556826
2023-04-09,0.5,0.5,0.0,0.17085796870437756
2023-04-10,0.5,0.5,0.0,-0.05687194262296321
2023-04-11,0.5,0.5,0.0,-0.2181114246088202
2023-04-12,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.25263188231262507
2023-04-13,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.41178710342216834
2023-04-14,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.544002094563595
2023-04-15,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6741797881403144
2023-04-16,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.4876948028451575
2023-04-17,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-0.5401281224983734
2023-04-18,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6808428967650819
2023-04-19,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-0.6293860486875111
2023-04-20,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-0.7843379115830468
2023-04-21,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-0.8251889444069794
2023-04-22,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.7059439154908643
2023-04-23,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-1.0671905347410338
2023-04-24,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-1.0366235781955762
2023-04-25,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-1.4162164136421858
2023-04-26,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-1.5064436715143827
2023-04-27,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.0270216302587762
2023-04-28,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.575157694757275
2023-04-29,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.959098499591876
