date,bullish_prob,bearish_prob,net_prob,mean_drift
2022-01-07,0.8333333333333334,0.16666666666666666,0.6666666666666666,5.430766666666663
2022-01-08,0.8333333333333334,0.16666666666666666,0.6666666666666666,5.2955333333333385
2022-01-09,0.8333333333333334,0.16666666666666666,0.6666666666666666,5.510566666666676
2022-01-10,1.0,0.0,1.0,5.445733333333339
2022-01-11,1.0,0.0,1.0,6.09883333333332
2022-01-12,1.0,0.0,1.0,6.045433333333325
2022-01-13,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.334733333333332
2022-01-14,1.0,0.0,1.0,6.6037000000000035
2022-01-15,1.0,0.0,1.0,6.281033333333336
2022-01-16,1.0,0.0,1.0,6.233066666666673
2022-01-17,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.399666666666673
2022-01-18,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.524566666666672
2022-01-19,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.531200000000003
2022-01-20,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.703733333333335
2022-01-21,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.74613333333333
2022-01-22,1.0,0.0,1.0,6.421966666666665
2022-01-23,0.8333333333333334,0.16666666666666666,0.6666666666666666,6.491866666666674
2022-01-24,1.0,0.0,1.0,6.7410333333333385
2022-01-25,1.0,0.0,1.0,6.863833333333332
2022-01-26,1.0,0.0,1.0,6.928133333333335
2022-01-27,0.8333333333333334,0.16666666666666666,0.6666666666666666,7.030233333333342
2022-01-28,1.0,0.0,1.0,6.923433333333342
2022-01-29,1.0,0.0,1.0,6.998933333333326
2022-01-30,1.0,0.0,1.0,6.894699999999996
2022-01-31,1.0,0.0,1.0,6.91869999999999
2022-02-01,1.0,0.0,1.0,6.812899999999999
2022-02-02,1.0,0.0,1.0,6.995500000000011
2022-02-03,1.0,0.0,1.0,7.083899999999997
2022-02-07,1.0,0.0,1.0,6.97763333333333
2022-02-08,1.0,0.0,1.0,6.742399999999999
2022-02-09,1.0,0.0,1.0,6.725233333333324
2022-02-10,1.0,0.0,1.0,7.02106666666667
2022-02-11,1.0,0.0,1.0,6.835433333333334
2022-02-12,1.0,0.0,1.0,6.627399999999992
2022-02-13,1.0,0.0,1.0,6.702833333333324
2022-02-14,1.0,0.0,1.0,6.730066666666666
2022-02-15,1.0,0.0,1.0,7.024033333333335
2022-02-16,1.0,0.0,1.0,6.607800000000002
2022-02-17,1.0,0.0,1.0,6.879566666666659
2022-02-18,1.0,0.0,1.0,7.049800000000005
2022-02-19,1.0,0.0,1.0,6.810933333333334
2022-02-20,1.0,0.0,1.0,6.905266666666658
2022-02-21,1.0,0.0,1.0,7.043833333333342
2022-02-22,1.0,0.0,1.0,7.0121333333333284
2022-02-23,1.0,0.0,1.0,7.005033333333341
2022-02-24,1.0,0.0,1.0,6.879433333333331
2022-02-25,1.0,0.0,1.0,6.564199999999995
2022-02-26,1.0,0.0,1.0,6.522233333333332
2022-02-27,1.0,0.0,1.0,6.716899999999998
2022-02-28,1.0,0.0,1.0,6.520800000000006
2022-03-01,1.0,0.0,1.0,7.188233333333334
2022-03-02,1.0,0.0,1.0,6.9702000000000055
2022-03-03,1.0,0.0,1.0,6.744300000000003
2022-03-04,1.0,0.0,1.0,7.035333333333329
2022-03-05,1.0,0.0,1.0,7.478200000000001
2022-03-06,1.0,0.0,1.0,7.150833333333331
2022-03-07,1.0,0.0,1.0,7.345233333333328
2022-03-08,1.0,0.0,1.0,7.277733333333333
2022-03-09,1.0,0.0,1.0,7.5479666666666745
2022-03-10,1.0,0.0,1.0,7.3808999999999925
2022-03-11,1.0,0.0,1.0,7.360033333333327
2022-03-12,1.0,0.0,1.0,7.123533333333332
2022-03-13,1.0,0.0,1.0,7.15336666666667
2022-03-14,1.0,0.0,1.0,7.284266666666679
2022-03-15,1.0,0.0,1.0,7.066233333333322
2022-03-16,1.0,0.0,1.0,7.186800000000001
2022-03-17,1.0,0.0,1.0,7.0620666666666665
2022-03-18,1.0,0.0,1.0,7.1340333333333374
2022-03-19,1.0,0.0,1.0,7.239166666666665
2022-03-20,1.0,0.0,1.0,7.183966666666663
2022-03-21,1.0,0.0,1.0,7.474733333333336
2022-03-22,1.0,0.0,1.0,7.122899999999999
2022-03-23,1.0,0.0,1.0,7.245766666666671
2022-03-24,1.0,0.0,1.0,6.927433333333343
2022-03-25,1.0,0.0,1.0,6.6903333333333395
2022-03-26,1.0,0.0,1.0,6.9190999999999905
2022-03-27,1.0,0.0,1.0,7.133499999999991
2022-03-28,1.0,0.0,1.0,6.603300000000002
2022-03-29,1.0,0.0,1.0,6.726733333333338
2022-03-30,1.0,0.0,1.0,6.730500000000004
2022-03-31,1.0,0.0,1.0,6.941666666666663
2022-04-01,1.0,0.0,1.0,6.811900000000004
2022-04-02,1.0,0.0,1.0,7.028099999999992
2022-04-21,1.0,0.0,1.0,7.332366666666665
2022-04-22,1.0,0.0,1.0,6.884100000000001
2022-04-23,1.0,0.0,1.0,7.246233333333332
2022-04-24,1.0,0.0,1.0,7.505333333333337
2022-04-25,1.0,0.0,1.0,7.252033333333334
2022-04-26,1.0,0.0,1.0,7.016266666666674
2022-04-27,1.0,0.0,1.0,6.281866666666666
2022-04-28,1.0,0.0,1.0,6.518400000000007
2022-04-29,1.0,0.0,1.0,6.634166666666675
2022-04-30,1.0,0.0,1.0,7.070033333333335
2022-05-01,1.0,0.0,1.0,7.008433333333329
2022-05-02,1.0,0.0,1.0,6.436499999999998
2022-05-03,1.0,0.0,1.0,7.0461333333333345
