horizon,baseline_da,equal_da,ewma_da,baseline_return,equal_return,ewma_return,baseline_pf,equal_pf,ewma_pf,baseline_sharpe,equal_sharpe,ewma_sharpe
30,73.27586206896551,87.03170028818444,92.81609195402298,13.855,22.249,25.105999999999998,2.919506788584094,8.481170141223942,16.920101458465442,7.604491126743661,15.391763203999433,20.013380439694753
60,66.49076517150397,65.69920844327177,84.1688654353562,20.85,11.562000000000003,33.754,2.9244969540335983,1.746995735883189,9.029019980970503,7.125586951264282,3.7009652713737617,14.194866226509914
90,67.72486772486772,70.63492063492063,89.15343915343915,11.184999999999999,13.222999999999997,37.369,1.5609890661049253,1.6989270045985518,6.618553600962259,3.1152002819652207,3.711416100431017,13.450641588460467
180,85.22427440633246,72.82321899736148,86.54353562005277,48.123000000000005,37.06300000000001,51.919000000000004,8.447075208913649,4.090643762508341,19.096549320320676,15.171147486045829,9.973323236389437,18.53552033789135
270,49.07651715039577,60.15831134564644,74.93403693931398,4.922999999999998,23.854999999999997,47.546,1.1731256154170768,2.2575118608328952,11.022344013490725,1.018428650139938,5.181092998026002,12.827022816857069
360,82.84960422163589,72.29551451187335,93.40369393139841,46.321999999999996,32.727999999999994,66.733,4.976137339055794,2.7741638206754486,434.3311688311687,12.858497542812811,7.879249569021971,36.88179235841467
450,32.51366120218579,28.142076502732237,65.02732240437157,-12.556,-23.286,47.506,0.6957006446609474,0.5005897870332642,7.303038344168767,-2.452273205317181,-4.686763852425371,11.65102869858956
