horizon,baseline_train,baseline_test,equal_train,equal_test,ewma_train,ewma_test,test_signals,improvement
30,82.97872340425532,73.27586206896551,84.19689119170984,86.7816091954023,90.50086355785838,92.52873563218391,348,19.2528735632184
60,86.34577603143418,66.49076517150397,91.00790513833992,65.69920844327177,95.15810276679841,84.1688654353562,379,17.67810026385223
90,72.66288951841359,67.72486772486772,73.2574679943101,70.63492063492063,85.70412517780939,88.09523809523809,378,20.370370370370367
180,74.74747474747475,85.22427440633246,75.05630630630631,72.82321899736148,87.27477477477478,86.01583113456465,379,0.7915567282321945
270,84.62068965517241,49.07651715039577,83.03324099722992,60.15831134564644,88.78116343490305,73.35092348284961,379,24.274406332453836
360,93.90919158361018,82.84960422163589,94.01993355481729,72.29551451187335,95.5703211517165,93.40369393139841,379,10.554089709762522
450,85.14851485148515,32.51366120218579,86.75496688741721,28.142076502732237,89.40397350993378,63.934426229508205,366,31.420765027322417
